0	1
0	2
0	29
1	0
1	23
1	32
2	0
2	26
2	34
29	0
29	337
29	358
23	1
23	13
23	24
32	1
26	2
26	33
34	2
34	33
34	53
3	4
3	7
3	40
4	3
4	18
4	19
7	3
7	5
7	16
7	17
40	3
40	16
40	39
40	179
18	4
18	179
19	4
19	6
19	17
5	6
5	7
5	10
6	5
6	11
6	19
10	5
10	8
10	11
11	6
11	9
11	10
16	7
16	40
16	47
17	7
17	19
8	9
8	10
8	47
9	8
9	11
9	20
47	8
47	16
47	46
47	178
20	9
20	21
12	13
12	174
12	1889
13	12
13	22
13	23
174	12
174	49
174	173
1889	12
1889	35
22	13
22	21
14	15
14	25
14	4730
15	14
15	4666
15	4697
25	14
25	4740
25	5484
25	5504
4730	14
4730	4701
4730	4732
4730	4740
4697	15
4697	4670
4697	4696
4697	4723
24	23
24	336
24	337
337	24
337	29
336	24
33	26
358	29
53	34
21	20
179	175
46	47
178	47
39	40
49	174
173	174
175	179
35	1889
4666	15
4740	25
5484	25
5504	25
4701	4730
4732	4730
4670	4697
4696	4697
4723	4697
179	18
179	40
179	175
21	20
21	22
24	23
24	336
24	337
337	24
337	29
337	335
336	24
336	335
336	390
4740	25
4740	4730
4740	4743
4740	4762
5484	25
5484	222
5484	5499
5504	25
5504	225
5504	5499
33	26
33	34
33	35
27	28
27	65
27	67
28	27
28	3456
28	3472
65	27
67	27
67	66
67	1297
3456	28
3456	1294
3456	3457
3472	28
358	29
30	31
30	87
30	1581
31	30
31	349
31	388
87	30
1581	30
1581	1585
1581	1594
388	31
388	335
388	389
388	390
349	31
349	347
349	350
35	33
35	36
35	1889
53	34
53	51
53	176
53	177
36	35
37	38
37	61
37	4783
38	37
38	223
38	224
38	4772
61	37
61	5215
4783	37
4783	225
4783	4762
4783	4782
4783	4796
223	38
224	38
224	225
4772	38
4772	4773
4772	5048
4772	5050
39	40
39	45
45	39
45	46
41	42
41	78
41	90
42	41
51	53
176	53
177	53
335	336
335	337
335	388
390	388
390	336
389	388
347	349
350	349
1585	1581
1594	1581
4743	4740
4762	4740
222	5484
5499	5484
5499	5504
225	5504
225	4783
225	224
66	67
1297	67
1294	3456
3457	3456
5215	61
4782	4783
4796	4783
4773	4772
5048	4772
5050	4772
78	41
90	41
